No.;Nama Pemilik;Nama Usaha;NIK;Tgl. Lahir;Jalan;Desa;Sektor;NIB/SKU;Jml. Tenaga Kerja;Kapasitas Produksi/Thn; Omset/Thn ; Aset ;Sosmed;Marketplace;Kepemilikan Lahan
136;Owner-0131;MSME-0004;NIK-0136;BirthDate-0134;Street-0044;Village-0007;Perdagangan;Ada;2;7000; Rp27.750.000 ; Rp6.000.000 ;Tidak ada;Tidak ada;Sendiri
137;Owner-0132;MSME-0004;NIK-0137;BirthDate-0135;Street-0036;Village-0007;Perdagangan;Ada;2;280; Rp196.500.000 ; Rp162.250.000 ;Facebook;Tokopedia;Sendiri
138;Owner-0133;MSME-0068;NIK-0138;BirthDate-0136;Street-0044;Village-0007;Peternakan;Ada;4;250; Rp755.000.000 ; Rp888.250.000 ;Facebook;Tidak ada;Sendiri
139;Owner-0134;MSME-0069;NIK-0139;BirthDate-0137;Street-0045;Village-0007;Perdagangan;Ada;3;200; Rp210.750.000 ; Rp77.250.000 ;Instagram;Shopee;Sewa
140;Owner-0135;MSME-0029;NIK-0140;BirthDate-0138;Street-0046;Village-0007;Makanan dan Minuman;Ada;7;2800; Rp80.750.000 ; Rp15.750.000 ;Facebook;Shopee;Sendiri
141;Owner-0136;MSME-0070;NIK-0141;BirthDate-0139;Street-0047;Village-0007;Perdagangan;Ada;2;80; Rp396.750.000 ; Rp1.062.000.000 ;Facebook, Instagram;Tokopedia;Sendiri
142;Owner-0137;MSME-0071;NIK-0142;BirthDate-0140;Street-0048;Village-0007;Makanan dan Minuman;Ada;5;400; Rp33.500.000 ; Rp16.750.000 ;TikTok;Shopee;Sendiri
143;Owner-0138;MSME-0072;NIK-0143;BirthDate-0031;Street-0048;Village-0007;Makanan dan Minuman;Ada;5;1000; Rp174.000.000 ; Rp88.250.000 ;Instagram;Tidak ada;Sendiri
144;Owner-0139;MSME-0036;NIK-0144;BirthDate-0141;Street-0028;Village-0007;Makanan dan Minuman;Ada;3;300; Rp27.500.000 ; Rp17.500.000 ;Facebook;Shopee;Sendiri
145;Owner-0140;MSME-0029;NIK-0145;BirthDate-0142;Street-0044;Village-0007;Makanan dan Minuman;Ada;2;460; Rp22.250.000 ; Rp17.000.000 ;Instagram;Shopee;Sendiri
146;Owner-0141;MSME-0073;NIK-0146;BirthDate-0143;Street-0044;Village-0007;Perdagangan;Ada;4;260; Rp171.250.000 ; Rp109.000.000 ;Facebook;Tokopedia;Sewa
147;Owner-0142;MSME-0074;NIK-0147;BirthDate-0144;Street-0044;Village-0007;Perdagangan;Ada;4;10000; Rp620.750.000 ; Rp340.500.000 ;Facebook;Shopee;Sendiri
148;Owner-0143;MSME-0075;NIK-0148;BirthDate-0145;Street-0049;Village-0009;Industri;Ada;4;64; Rp230.000.000 ; Rp25.750.000 ;Facebook;Tokopedia;Sendiri
149;Owner-0144;MSME-0061;NIK-0149;BirthDate-0027;Street-0050;Village-0009;Perdagangan;Ada;2;5000; Rp170.000.000 ; Rp69.500.000 ;Facebook;Lazada;Sendiri
150;Owner-0145;MSME-0061;NIK-0150;BirthDate-0146;Street-0050;Village-0009;Perdagangan;Ada;1;300; Rp63.750.000 ; Rp25.750.000 ;WhatsApp Business;Shopee;Sewa
151;Owner-0146;MSME-0061;NIK-0151;BirthDate-0147;Street-0051;Village-0009;Perdagangan;Ada;2;320; Rp16.500.000 ; Rp26.500.000 ;Facebook;Tokopedia;Sendiri
152;Owner-0147;MSME-0076;NIK-0152;BirthDate-0148;Street-0044;Village-0007;Jasa;Ada;3;220; Rp963.750.000 ; Rp1.025.750.000 ;Instagram;Tidak ada;Sendiri
153;Owner-0148;MSME-0004;NIK-0153;BirthDate-0149;Street-0037;Village-0007;Perdagangan;Ada;5;335; Rp425.750.000 ; Rp1.070.000.000 ;Facebook;Shopee;Sendiri
154;Owner-0149;MSME-0004;NIK-0154;BirthDate-0150;Street-0048;Village-0007;Perdagangan;Ada;2;550; Rp17.000.000 ; Rp17.500.000 ;Facebook;Lazada;Sendiri
155;Owner-0150;MSME-0004;NIK-0155;BirthDate-0151;Street-0048;Village-0007;Perdagangan;Ada;2;8000; Rp197.000.000 ; Rp173.250.000 ;Tidak ada;Tidak ada;Sendiri
156;Owner-0151;MSME-0004;NIK-0156;BirthDate-0152;Street-0052;Village-0010;Perdagangan;Ada;2;2000; Rp130.750.000 ; Rp60.500.000 ;Tidak ada;Tidak ada;Sendiri
157;Owner-0152;MSME-0077;NIK-0157;BirthDate-0153;Street-0037;Village-0007;Makanan dan Minuman;Ada;1;200; Rp8.750.000 ; Rp19.250.000 ;WhatsApp Business;Tidak ada;Sendiri
158;Owner-0153;MSME-0078;NIK-0158;BirthDate-0154;Street-0053;Village-0007;Makanan dan Minuman;Ada;2;600; Rp49.500.000 ; Rp9.000.000 ;Facebook;Tidak ada;Sendiri
159;Owner-0154;MSME-0004;NIK-0159;BirthDate-0155;Street-0054;Village-0007;Perdagangan;Ada;2;300; Rp308.750.000 ; Rp467.250.000 ;Instagram;Tokopedia;Sewa
160;Owner-0155;MSME-0001;NIK-0160;BirthDate-0156;Street-0044;Village-0007;Makanan dan Minuman;Ada;3;30000; Rp24.750.000 ; Rp24.250.000 ;TikTok;Tokopedia;Sendiri
161;Owner-0051;MSME-0004;NIK-0161;BirthDate-0157;Street-0055;Village-0007;Perdagangan;Ada;2;1500; Rp129.250.000 ; Rp137.000.000 ;Instagram;Tokopedia;Sewa
162;Owner-0156;MSME-0004;NIK-0162;BirthDate-0158;Street-0056;Village-0007;Perdagangan;Ada;3;15000; Rp39.250.000 ; Rp19.250.000 ;Tidak ada;Tidak ada;Sendiri
163;Owner-0157;MSME-0079;NIK-0163;BirthDate-0159;Street-0057;Village-0005;Industri;Ada;3;300; Rp1.179.250.000 ; Rp1.169.250.000 ;Facebook;Shopee;Sendiri
164;Owner-0158;MSME-0080;NIK-0164;BirthDate-0160;Street-0058;Village-0005;Jasa;Ada;4;510; Rp42.500.000 ; Rp23.250.000 ;Instagram, WhatsApp Business;Tidak ada;Sendiri
165;Owner-0159;MSME-0081;NIK-0165;BirthDate-0161;Street-0056;Village-0007;Makanan dan Minuman;Ada;2;360; Rp34.250.000 ; Rp14.000.000 ;Instagram, TikTok;Shopee;Sendiri
166;Owner-0160;MSME-0037;NIK-0166;BirthDate-0162;Street-0059;Village-0005;Makanan dan Minuman;Ada;2;2500; Rp54.000.000 ; Rp29.250.000 ;TikTok;Shopee;Sendiri
167;Owner-0161;MSME-0004;NIK-0167;BirthDate-0163;Street-0052;Village-0010;Perdagangan;Ada;2;300; Rp152.500.000 ; Rp93.500.000 ;WhatsApp Business;Tokopedia;Sendiri
168;Owner-0162;MSME-0082;NIK-0168;BirthDate-0164;Street-0060;Village-0005;Perdagangan;Ada;4;2750; Rp1.006.250.000 ; Rp866.500.000 ;WhatsApp Business;Tidak ada;Sendiri
169;Owner-0163;MSME-0017;NIK-0169;BirthDate-0165;Street-0060;Village-0005;Makanan dan Minuman;Ada;2;600; Rp22.250.000 ; Rp9.750.000 ;TikTok;Shopee;Sendiri
170;Owner-0164;MSME-0083;NIK-0170;BirthDate-0166;Street-0014;Village-0005;Makanan dan Minuman;Ada;2;400; Rp101.250.000 ; Rp118.250.000 ;Facebook, TikTok;Shopee;Sendiri
171;Owner-0165;MSME-0084;NIK-0171;BirthDate-0167;Street-0013;Village-0003;Jasa;Ada;3;150; Rp37.000.000 ; Rp8.500.000 ;TikTok;Tidak ada;Sewa
172;Owner-0166;MSME-0085;NIK-0172;BirthDate-0168;Street-0013;Village-0005;Jasa;Ada;3;250; Rp29.250.000 ; Rp13.500.000 ;Facebook;Tidak ada;Sendiri
173;Owner-0167;MSME-0004;NIK-0173;BirthDate-0169;Street-0010;Village-0005;Perdagangan;Ada;6;15000; Rp76.500.000 ; Rp155.250.000 ;WhatsApp Business;Tokopedia;Sendiri
174;Owner-0168;MSME-0004;NIK-0174;BirthDate-0170;Street-0061;Village-0003;Perdagangan;Ada;1;275; Rp586.000.000 ; Rp300.750.000 ;Facebook;Shopee;Sewa
175;Owner-0169;MSME-0005;NIK-0175;BirthDate-0171;Street-0010;Village-0005;Makanan dan Minuman;Ada;3;700; Rp17.250.000 ; Rp19.750.000 ;WhatsApp Business;Shopee;Sendiri
176;Owner-0170;MSME-0086;NIK-0176;BirthDate-0172;Street-0010;Village-0005;Perdagangan;Ada;4;10000; Rp141.000.000 ; Rp89.250.000 ;Facebook, TikTok;Lazada;Sendiri
177;Owner-0171;MSME-0087;NIK-0177;BirthDate-0173;Street-0010;Village-0005;Perdagangan;Ada;4;300; Rp161.000.000 ; Rp65.000.000 ;TikTok;Lazada;Sendiri
178;Owner-0172;MSME-0004;NIK-0178;BirthDate-0174;Street-0062;Village-0005;Perdagangan;Ada;2;3000; Rp20.000.000 ; Rp19.750.000 ;WhatsApp Business;Shopee;Sendiri
179;Owner-0173;MSME-0086;NIK-0179;BirthDate-0175;Street-0013;Village-0005;Perdagangan;Ada;2;15000; Rp189.250.000 ; Rp128.500.000 ;TikTok;Shopee;Sewa
180;Owner-0174;MSME-0004;NIK-0180;BirthDate-0176;Street-0014;Village-0005;Perdagangan;Ada;2;1040; Rp1.119.250.000 ; Rp625.500.000 ;Facebook;Tidak ada;Sendiri
181;Owner-0175;MSME-0004;NIK-0181;BirthDate-0177;Street-0010;Village-0005;Perdagangan;Ada;5;8000; Rp28.500.000 ; Rp23.500.000 ;Tidak ada;Tidak ada;Sendiri
182;Owner-0176;MSME-0004;NIK-0182;BirthDate-0178;Street-0010;Village-0005;Perdagangan;Ada;3;4000; Rp168.750.000 ; Rp61.000.000 ;WhatsApp Business;Shopee;Sendiri
183;Owner-0177;MSME-0088;NIK-0183;BirthDate-0179;Street-0063;Village-0003;Perdagangan;Ada;2;200; Rp108.500.000 ; Rp68.000.000 ;TikTok;Tidak ada;Sendiri
184;Owner-0178;MSME-0004;NIK-0184;BirthDate-0180;Street-0013;Village-0005;Perdagangan;Ada;1;110; Rp37.250.000 ; Rp27.750.000 ;Tidak ada;Tokopedia;Sewa
185;Owner-0179;MSME-0086;NIK-0185;BirthDate-0181;Street-0013;Village-0005;Perdagangan;Ada;2;425; Rp158.750.000 ; Rp125.500.000 ;Facebook;Tokopedia;Sendiri
186;Owner-0180;MSME-0017;NIK-0186;BirthDate-0182;Street-0010;Village-0005;Makanan dan Minuman;Ada;4;4000; Rp189.500.000 ; Rp67.000.000 ;TikTok;Shopee;Sendiri
187;Owner-0181;MSME-0017;NIK-0187;BirthDate-0183;Street-0010;Village-0005;Makanan dan Minuman;Ada;5;4000; Rp24.750.000 ; Rp26.750.000 ;TikTok;Shopee;Sendiri
188;Owner-0182;MSME-0037;NIK-0188;BirthDate-0184;Street-0010;Village-0005;Makanan dan Minuman;Ada;3;15000; Rp117.500.000 ; Rp52.000.000 ;Facebook;TikTok;Sendiri
189;Owner-0183;MSME-0089;NIK-0189;BirthDate-0185;Street-0010;Village-0005;Makanan dan Minuman;Ada;3;415; Rp50.150.000 ; Rp24.250.000 ;Facebook;Lazada;Sendiri
190;Owner-0184;MSME-0090;NIK-0190;BirthDate-0046;Street-0064;Village-0007;Perdagangan;Ada;4;4000; Rp313.500.000 ; Rp87.250.000 ;Facebook, TikTok;Tokopedia;Sewa
191;Owner-0185;MSME-0086;NIK-0191;BirthDate-0186;Street-0065;Village-0009;Perdagangan;Ada;2;210; Rp116.000.000 ; Rp86.250.000 ;WhatsApp Business;Tokopedia;Sendiri
192;Owner-0186;MSME-0086;NIK-0192;BirthDate-0187;Street-0014;Village-0005;Perdagangan;Ada;2;4000; Rp480.250.000 ; Rp196.750.000 ;WhatsApp Business;Shopee;Sendiri
193;Owner-0071;MSME-0091;NIK-0193;BirthDate-0188;Street-0066;Village-0011;Jasa;Ada;4;1550; Rp226.500.000 ; Rp225.000.000 ;WhatsApp Business;Tidak ada;Sendiri
194;Owner-0046;MSME-0091;NIK-0194;BirthDate-0046;Street-0010;Village-0005;Jasa;Ada;4;820; Rp174.750.000 ; Rp155.750.000 ;Facebook;Tidak ada;Sendiri
195;Owner-0187;MSME-0085;NIK-0195;BirthDate-0189;Street-0062;Village-0005;Jasa;Ada;4;2000; Rp100.750.000 ; Rp77.575.000 ;Instagram;Tidak ada;Sendiri
196;Owner-0188;MSME-0004;NIK-0196;BirthDate-0190;Street-0010;Village-0005;Perdagangan;Ada;4;5000; Rp67.000.000 ; Rp30.750.000 ;Facebook;Lazada;Sendiri
197;Owner-0189;MSME-0086;NIK-0197;BirthDate-0191;Street-0010;Village-0005;Perdagangan;Ada;2;615; Rp60.250.000 ; Rp110.500.000 ;TikTok;Shopee;Sendiri
198;Owner-0190;MSME-0092;NIK-0198;BirthDate-0192;Street-0010;Village-0005;Jasa;Ada;3;140; Rp807.750.000 ; Rp391.750.000 ;Instagram, TikTok;Tidak ada;Sendiri
199;Owner-0191;MSME-0004;NIK-0199;BirthDate-0193;Street-0010;Village-0005;Perdagangan;Ada;3;530; Rp24.750.000 ; Rp18.000.000 ;Facebook;Tokopedia;Sendiri
200;Owner-0192;MSME-0004;NIK-0200;BirthDate-0194;Street-0067;Village-0009;Perdagangan;Ada;2;500; Rp193.750.000 ; Rp163.000.000 ;Instagram;Shopee;Sendiri
201;Owner-0193;MSME-0086;NIK-0201;BirthDate-0195;Street-0067;Village-0009;Perdagangan;Ada;4;15000; Rp910.000.000 ; Rp465.000.000 ;WhatsApp Business;Tokopedia;Sendiri
202;Owner-0194;MSME-0086;NIK-0202;BirthDate-0196;Street-0068;Village-0005;Perdagangan;Ada;2;4000; Rp12.250.000 ; Rp18.000.000 ;Facebook;Shopee;Sendiri
203;Owner-0195;MSME-0004;NIK-0203;BirthDate-0197;Street-0069;Village-0005;Perdagangan;Ada;2;3000; Rp128.500.000 ; Rp66.750.000 ;WhatsApp Business;Tidak ada;Sendiri
204;Owner-0196;MSME-0004;NIK-0204;BirthDate-0198;Street-0069;Village-0005;Perdagangan;Ada;3;270; Rp1.018.000.000 ; Rp905.000.000 ;WhatsApp Business;Tidak ada;Sendiri
205;Owner-0197;MSME-0086;NIK-0205;BirthDate-0199;Street-0070;Village-0005;Perdagangan;Ada;2;650; Rp27.750.000 ; Rp16.750.000 ;TikTok;Tidak ada;Sendiri
206;Owner-0198;MSME-0004;NIK-0206;BirthDate-0200;Street-0010;Village-0005;Perdagangan;Ada;3;2500; Rp74.250.000 ; Rp132.250.000 ;Tidak ada;Tidak ada;Sendiri
207;Owner-0199;MSME-0093;NIK-0207;BirthDate-0201;Street-0014;Village-0005;Jasa;Ada;2;285; Rp1.062.000.000 ; Rp502.500.000 ;TikTok;Shopee;Sendiri
208;Owner-0200;MSME-0004;NIK-0208;BirthDate-0202;Street-0014;Village-0005;Perdagangan;Ada;2;3000; Rp18.250.000 ; Rp19.000.000 ;WhatsApp Business;Tokopedia;Sendiri
209;Owner-0201;MSME-0005;NIK-0209;BirthDate-0203;Street-0010;Village-0005;Makanan dan Minuman;Ada;3;615; Rp154.750.000 ; Rp98.500.000 ;Facebook;Shopee;Sendiri
210;Owner-0202;MSME-0005;NIK-0210;BirthDate-0204;Street-0010;Village-0005;Makanan dan Minuman;Ada;4;1100; Rp718.500.000 ; Rp670.500.000 ;Facebook;Shopee;Sewa
211;Owner-0203;MSME-0091;NIK-0211;BirthDate-0205;Street-0010;Village-0005;Jasa;Ada;2;105; Rp28.250.000 ; Rp28.500.000 ;Facebook, TikTok;Tidak ada;Sewa
212;Owner-0204;MSME-0086;NIK-0212;BirthDate-0206;Street-0013;Village-0005;Perdagangan;Ada;2;520; Rp179.500.000 ; Rp65.750.000 ;WhatsApp Business, Facebook;Tidak ada;Sendiri
213;Owner-0205;MSME-0004;NIK-0213;BirthDate-0207;Street-0013;Village-0005;Perdagangan;Ada;2;500; Rp338.750.000 ; Rp668.500.000 ;Instagram;Tokopedia;Sendiri
214;Owner-0206;MSME-0017;NIK-0214;BirthDate-0208;Street-0068;Village-0005;Makanan dan Minuman;Ada;3;300; Rp27.250.000 ; Rp25.500.000 ;TikTok;Shopee;Sendiri
215;Owner-0207;MSME-0094;NIK-0215;BirthDate-0209;Street-0064;Village-0007;Perdagangan;Ada;3;615; Rp67.500.000 ; Rp63.750.000 ;Facebook;Tidak ada;Sendiri
216;Owner-0208;MSME-0086;NIK-0216;BirthDate-0210;Street-0069;Village-0005;Perdagangan;Ada;2;2000; Rp776.500.000 ; Rp1.158.750.000 ;Facebook;Shopee;Sendiri
217;Owner-0209;MSME-0004;NIK-0217;BirthDate-0211;Street-0069;Village-0005;Perdagangan;Ada;2;10000; Rp25.250.000 ; Rp27.750.000 ;WhatsApp Business;Shopee;Sendiri
218;Owner-0210;MSME-0076;NIK-0218;BirthDate-0212;Street-0069;Village-0005;Perdagangan;Ada;8;190; Rp82.250.000 ; Rp120.750.000 ;Facebook;Shopee;Sendiri
219;Owner-0211;MSME-0005;NIK-0219;BirthDate-0213;Street-0071;Village-0005;Makanan dan Minuman;Ada;5;3000; Rp496.000.000 ; Rp350.250.000 ;WhatsApp Business;Tidak ada;Sendiri
220;Owner-0212;MSME-0086;NIK-0220;BirthDate-0214;Street-0069;Village-0005;Perdagangan;Ada;2;1800; Rp7.500.000 ; Rp22.750.000 ;WhatsApp Business;Shopee;Sendiri
221;Owner-0213;MSME-0004;NIK-0221;BirthDate-0215;Street-0072;Village-0001;Perdagangan;Ada;3;810; Rp200.500.000 ; Rp54.750.000 ;Instagram;Shopee;Sendiri
222;Owner-0214;MSME-0017;NIK-0222;BirthDate-0216;Street-0071;Village-0005;Makanan dan Minuman;Ada;3;600; Rp940.250.000 ; Rp914.250.000 ;TikTok;Shopee;Sewa
223;Owner-0215;MSME-0017;NIK-0223;BirthDate-0217;Street-0071;Village-0005;Makanan dan Minuman;Ada;7;350; Rp11.500.000 ; Rp25.000.000 ;Facebook;Shopee;Sewa
224;Owner-0216;MSME-0017;NIK-0224;BirthDate-0218;Street-0071;Village-0005;Makanan dan Minuman;Ada;3;2500; Rp175.500.000 ; Rp167.750.000 ;TikTok;Shopee;Sendiri
225;Owner-0217;MSME-0017;NIK-0225;BirthDate-0219;Street-0071;Village-0005;Makanan dan Minuman;Ada;4;1050; Rp524.250.000 ; Rp998.000.000 ;Instagram, TikTok;Shopee;Sendiri
226;Owner-0218;MSME-0092;NIK-0226;BirthDate-0220;Street-0013;Village-0005;Jasa;Ada;4;110; Rp30.500.000 ; Rp13.500.000 ;Instagram, Facebook, TikTok;Tidak ada;Sendiri
227;Owner-0219;MSME-0095;NIK-0227;BirthDate-0221;Street-0071;Village-0005;Pertanian, perkebunan, dan kehutanan;Ada;6;200; Rp76.250.000 ; Rp97.250.000 ;Facebook;Shopee;Sendiri
228;Owner-0220;MSME-0017;NIK-0228;BirthDate-0222;Street-0068;Village-0005;Makanan dan Minuman;Ada;4;750; Rp850.500.000 ; Rp657.500.000 ;TikTok;Shopee;Sewa
229;Owner-0221;MSME-0017;NIK-0229;BirthDate-0223;Street-0013;Village-0005;Makanan dan Minuman;Ada;6;50000; Rp7.750.000 ; Rp8.500.000 ;TikTok, Instagram;Shopee;Sendiri
230;Owner-0222;MSME-0086;NIK-0230;BirthDate-0224;Street-0013;Village-0005;Perdagangan;Ada;2;2100; Rp55.000.000 ; Rp50.000.000 ;Instagram;Tokopedia;Sendiri
231;Owner-0223;MSME-0061;NIK-0231;BirthDate-0225;Street-0073;Village-0005;Perdagangan;Ada;3;380; Rp1.070.750.000 ; Rp1.012.250.000 ;Tidak ada;Tokopedia;Sendiri
232;Owner-0224;MSME-0089;NIK-0232;BirthDate-0226;Street-0073;Village-0005;Makanan dan Minuman;Ada;3;600; Rp26.000.000 ; Rp12.000.000 ;Facebook, TikTok;Lazada;Sendiri
233;Owner-0225;MSME-0061;NIK-0233;BirthDate-0227;Street-0073;Village-0005;Perdagangan;Ada;2;240; Rp193.250.000 ; Rp69.750.000 ;Facebook;Shopee;Sewa
234;Owner-0226;MSME-0001;NIK-0234;BirthDate-0228;Street-0073;Village-0005;Makanan dan Minuman;Ada;5;3000; Rp336.750.000 ; Rp829.000.000 ;WhatsApp Business, Instagram;Shopee;Sendiri
235;Owner-0227;MSME-0017;NIK-0235;BirthDate-0229;Street-0074;Village-0007;Makanan dan Minuman;Ada;3;650; Rp14.250.000 ; Rp9.250.000 ;Facebook, TikTok;Shopee;Sewa
236;Owner-0228;MSME-0061;NIK-0236;BirthDate-0230;Street-0073;Village-0005;Perdagangan;Ada;6;350; Rp54.500.000 ; Rp156.500.000 ;Instagram;Tokopedia;Sewa
237;Owner-0229;MSME-0096;NIK-0237;BirthDate-0231;Street-0073;Village-0005;Perdagangan;Ada;5;7000; Rp416.250.000 ; Rp716.750.000 ;Facebook;Lazada;Sendiri
238;Owner-0230;MSME-0061;NIK-0238;BirthDate-0232;Street-0073;Village-0005;Perdagangan;Ada;1;270; Rp7.500.000 ; Rp25.250.000 ;Instagram;Shopee;Sewa
239;Owner-0223;MSME-0061;NIK-0239;BirthDate-0225;Street-0073;Village-0005;Perdagangan;Ada;3;15000; Rp137.250.000 ; Rp59.500.000 ;Facebook;Tokopedia;Sendiri
240;Owner-0231;MSME-0084;NIK-0240;BirthDate-0233;Street-0073;Village-0005;Jasa;Ada;3;1000; Rp634.500.000 ; Rp1.085.500.000 ;Instagram;Tidak ada;Sendiri
241;Owner-0232;MSME-0061;NIK-0241;BirthDate-0234;Street-0073;Village-0005;Perdagangan;Ada;2;280; Rp10.250.000 ; Rp26.750.000 ;WhatsApp Business;Shopee;Sewa
242;Owner-0233;MSME-0061;NIK-0242;BirthDate-0235;Street-0075;Village-0005;Perdagangan;Ada;2;7000; Rp80.250.000 ; Rp76.000.000 ;Instagram;Tokopedia;Sendiri
243;Owner-0234;MSME-0017;NIK-0243;BirthDate-0236;Street-0073;Village-0005;Makanan dan Minuman;Ada;4;5000; Rp1.123.500.000 ; Rp1.085.250.000 ;TikTok;Shopee;Sendiri
244;Owner-0235;MSME-0061;NIK-0244;BirthDate-0237;Street-0073;Village-0005;Perdagangan;Ada;2;290; Rp30.250.000 ; Rp19.250.000 ;Facebook;Shopee;Sewa
245;Owner-0236;MSME-0061;NIK-0245;BirthDate-0238;Street-0076;Village-0005;Perdagangan;Ada;3;30000; Rp62.250.000 ; Rp151.250.000 ;WhatsApp Business, TikTok;Tokopedia;Sendiri
246;Owner-0237;MSME-0061;NIK-0246;BirthDate-0227;Street-0073;Village-0005;Perdagangan;Tidak Ada;3;18000; Rp1.194.750.000 ; Rp1.133.000.000 ;WhatsApp Business;Tokopedia;Sendiri
247;Owner-0238;MSME-0061;NIK-0247;BirthDate-0239;Street-0077;Village-0003;Perdagangan;Ada;3;30000; Rp13.500.000 ; Rp5.250.000 ;Instagram;Shopee;Sendiri
248;Owner-0239;MSME-0089;NIK-0248;BirthDate-0240;Street-0076;Village-0005;Makanan dan Minuman;Ada;4;5000; Rp142.500.000 ; Rp197.500.000 ;TikTok;Tokopedia;Sendiri
249;Owner-0240;MSME-0097;NIK-0249;BirthDate-0241;Street-0076;Village-0005;Makanan dan Minuman;Ada;3;2500; Rp471.000.000 ; Rp1.142.750.000 ;Instagram;Shopee;Sewa
250;Owner-0241;MSME-0061;NIK-0250;BirthDate-0242;Street-0073;Village-0005;Perdagangan;Ada;3;160; Rp6.000.000 ; Rp19.250.000 ;Tidak ada;Tidak ada;Sendiri
251;Owner-0242;MSME-0098;NIK-0251;BirthDate-0243;Street-0078;Village-0005;Perdagangan;Ada;4;2000; Rp181.250.000 ; Rp125.500.000 ;Instagram;Shopee;Sewa
252;Owner-0243;MSME-0099;NIK-0252;BirthDate-0244;Street-0073;Village-0005;Jasa;Ada;2;185; Rp677.750.000 ; Rp806.250.000 ;TikTok;Shopee;Sendiri
253;Owner-0244;MSME-0061;NIK-0253;BirthDate-0245;Street-0073;Village-0005;Perdagangan;Ada;2;210; Rp19.750.000 ; Rp10.250.000 ;Facebook;Tokopedia;Sewa
254;Owner-0245;MSME-0061;NIK-0254;BirthDate-0246;Street-0073;Village-0005;Perdagangan;Ada;2;200; Rp78.000.000 ; Rp146.250.000 ;TikTok;Shopee;Sendiri
255;Owner-0246;MSME-0061;NIK-0255;BirthDate-0247;Street-0079;Village-0005;Perdagangan;Ada;3;5000; Rp411.750.000 ; Rp692.500.000 ;Facebook;Shopee;Sendiri
256;Owner-0247;MSME-0061;NIK-0256;BirthDate-0248;Street-0073;Village-0005;Perdagangan;Ada;6;10000; Rp19.000.000 ; Rp29.000.000 ;Facebook;Shopee;Sendiri
257;Owner-0248;MSME-0061;NIK-0257;BirthDate-0249;Street-0080;Village-0005;Perdagangan;Ada;2;540; Rp193.000.000 ; Rp154.000.000 ;Tidak ada;Tidak ada;Sendiri
258;Owner-0249;MSME-0089;NIK-0258;BirthDate-0226;Street-0073;Village-0005;Makanan dan Minuman;Ada;3;3000; Rp385.500.000 ; Rp954.750.000 ;Facebook;Tokopedia;Sendiri
259;Owner-0250;MSME-0061;NIK-0259;BirthDate-0250;Street-0057;Village-0005;Perdagangan;Ada;2;4000; Rp22.000.000 ; Rp29.750.000 ;Facebook;Tokopedia;Sendiri
260;Owner-0251;MSME-0036;NIK-0260;BirthDate-0251;Street-0081;Village-0009;Perdagangan;Ada;3;2500; Rp112.000.000 ; Rp172.500.000 ;TikTok;Lazada;Sendiri
261;Owner-0252;MSME-0100;NIK-0261;BirthDate-0252;Street-0082;Village-0007;Makanan dan Minuman;Ada;4;860; Rp1.098.500.000 ; Rp757.250.000 ;Instagram;Tokopedia;Sendiri
262;Owner-0253;MSME-0017;NIK-0262;BirthDate-0253;Street-0054;Village-0007;Makanan dan Minuman;Ada;8;250; Rp21.500.000 ; Rp27.000.000 ;TikTok;Shopee;Sendiri
263;Owner-0254;MSME-0004;NIK-0263;BirthDate-0254;Street-0083;Village-0005;Perdagangan;Ada;3;5000; Rp164.500.000 ; Rp192.750.000 ;WhatsApp Business;Shopee;Sewa
264;Owner-0255;MSME-0004;NIK-0264;BirthDate-0255;Street-0084;Village-0007;Perdagangan;Ada;3;300; Rp547.500.000 ; Rp1.016.500.000 ;Facebook;Tokopedia;Sendiri
265;Owner-0256;MSME-0004;NIK-0265;BirthDate-0256;Street-0080;Village-0005;Perdagangan;Tidak Ada;2;3550; Rp20.250.000 ; Rp19.750.000 ;Facebook;Tokopedia;Sendiri
266;Owner-0256;MSME-0004;NIK-0266;BirthDate-0256;Street-0080;Village-0005;Perdagangan;Tidak Ada;2;3550; Rp131.250.000 ; Rp110.250.000 ;Facebook;Tokopedia;Sendiri
267;Owner-0257;MSME-0004;NIK-0267;BirthDate-0257;Street-0080;Village-0005;Perdagangan;Ada;3;5025; Rp906.000.000 ; Rp305.000.000 ;TikTok;Lazada;Sendiri
268;Owner-0258;MSME-0101;NIK-0268;BirthDate-0258;Street-0085;Village-0007;Jasa;Ada;4;8000; Rp10.500.000 ; Rp22.500.000 ;Instagram, Facebook;Tidak ada;Sendiri
269;Owner-0259;MSME-0004;NIK-0269;BirthDate-0259;Street-0086;Village-0005;Perdagangan;Ada;2;2000; Rp137.750.000 ; Rp199.000.000 ;WhatsApp Business;Tokopedia;Sendiri
270;Owner-0260;MSME-0102;NIK-0270;BirthDate-0260;Street-0080;Village-0005;Jasa;Ada;4;285; Rp774.500.000 ; Rp547.000.000 ;Instagram, TikTok;Tidak ada;Sendiri
271;Owner-0261;MSME-0103;NIK-0271;BirthDate-0261;Street-0080;Village-0005;Perdagangan;Ada;4;390; Rp21.500.000 ; Rp13.000.000 ;Facebook;Tokopedia, Lazada;Sendiri
272;Owner-0262;MSME-0037;NIK-0272;BirthDate-0262;Street-0080;Village-0005;Makanan dan Minuman;Ada;8;1200; Rp58.000.000 ; Rp67.500.000 ;Instagram;Shopee;Sendiri
